序号,年份,产品名称,所在地域,证书持有人名称,产品类别,登记证书编号
1,2008,黎城核桃,山西,黎城县核桃产业办公室,果品,AGI00001
2,2008,交城骏枣,山西,交城县农业技术推广中心,果品,AGI00002
3,2008,乌海葡萄,内蒙古,乌海市植保植检站,果品,AGI00003
4,2008,彰武黑豆,辽宁,彰武县农业发展服务中心,粮食,AGI00004
5,2008,黑山锦丰梨,辽宁,黑山县农业农村事务服务中心,果品,AGI00005
6,2008,岫岩滑子蘑,辽宁,岫岩满族自治县农业农村发展中心,食用菌,AGI00006
7,2008,洮南绿豆,吉林,洮南市杂粮杂豆经销协会,粮食,AGI00007
8,2008,新开河贡米,吉林,集安绿色食品产业协会,粮食,AGI00008
9,2008,集安边条参,吉林,集安绿色食品产业协会,药材,AGI00009
10,2008,巴彦大豆,黑龙江,巴彦县质量安全协会,油料,AGI00010
11,2008,嘉荫木耳,黑龙江,嘉荫县绿色食品协会,食用菌,AGI00011
12,2008,阿城大米,黑龙江,哈尔滨市阿城金京稻米专业合作社,粮食,AGI00012
13,2008,章丘大葱,山东,章丘市大葱研究所,蔬菜,AGI00013
14,2008,威海野生刺参,山东,威海市农业环境保护站,水产动物,AGI00014
15,2008,房县香菇,湖北,房县经济作物技术推广站,蔬菜,AGI00015
16,2008,秭归桃叶橙,湖北,秭归县柑桔协会,果品,AGI00016
17,2008,麻城福白菊,湖北,麻城市福白菊产业协会,茶叶,AGI00017
18,2008,江永香柚,湖南,江永县桃川洞名特优新产品开发区管理委员会,果品,AGI00018
19,2008,武隆高山辣椒,重庆,武隆县蔬菜产业发展办公室,蔬菜,AGI00019
20,2008,梁平柚,重庆,梁平县经济作物站,果品,AGI00020
21,2008,米脂小米,陕西,米脂县金颗粒小米专业合作社,粮食,AGI00021
22,2008,阎良相枣,陕西,西安市阎良区林业科技中心,果品,AGI00022
23,2008,彬州梨,陕西,彬县园艺工作站,果品,AGI00023
24,2008,兴平关中黑猪,陕西,兴平市畜牧兽医站,肉类产品,AGI00024
25,2008,中宁硒砂瓜,宁夏,硒砂瓜生产营销协会,果品,AGI00025
26,2008,彭阳辣椒,宁夏,彭阳县红河辣椒专业合作社,蔬菜,AGI00026
27,2008,西吉马铃薯,宁夏,西吉县马铃薯产业服务中心,粮食,AGI00027
28,2008,贺兰螺丝菜,宁夏,贺兰县农牧局乡镇企业培训服务中心,蔬菜,AGI00028
29,2008,芮城花椒,山西,山西省芮城县花椒产业协会,蔬菜,AGI00029
30,2008,红山荞麦,山西,朔州市平鲁区红山荞麦协会,粮食,AGI00030
31,2008,长子大青椒,山西,山西省长子县椒王蔬菜营销合作社,蔬菜,AGI00031
32,2008,孝义核桃,山西,山西省孝义市农业技术推广中心,果品,AGI00032
33,2008,天山明绿豆,内蒙古,内蒙古赤峰市阿鲁科尔沁旗农业环保能源工作站,粮食,AGI00033
34,2008,乌兰察布马铃薯,内蒙古,乌兰察布市农畜产品质量安全中心,粮食,AGI00034
35,2008,乌珠穆沁羊肉,内蒙古,锡林郭勒盟农牧业科学研究所,肉类产品,AGI00035
36,2008,丹东杜鹃,辽宁,丹东市花卉协会,花卉,AGI00036
37,2008,小梁山西瓜,辽宁,新民市梁山镇西瓜协会,果品,AGI00037
38,2008,集安五味子,吉林,吉林省集安北五味子产业协会,药材,AGI00038
39,2008,洮南辣椒,吉林,洮南市辣椒产业协会,蔬菜,AGI00039
40,2008,巴彦猪肉,黑龙江,巴彦县农产品质量安全协会,肉类产品,AGI00040
41,2008,阿城大蒜,黑龙江,哈尔滨市阿城区金源绿色农畜产品协会,蔬菜,AGI00041
42,2008,呼兰大葱,黑龙江,哈尔滨市呼兰区兰河街道办事处社区服务中心,蔬菜,AGI00042
43,2008,嘉荫大豆,黑龙江,嘉荫县绿色食品协会,油料,AGI00043
44,2008,峄城石榴,山东,峄城区标准化农业产业协会,果品,AGI00044
45,2008,昌乐西瓜,山东,昌乐县农产品质量检测中心,果品,AGI00045
46,2008,黄河口蜜桃,山东,垦利县西宋乡黄河口蜜桃协会,果品,AGI00046
47,2008,平林镇大米,湖北,枣阳市平林镇粮油经销协会,粮食,AGI00047
48,2008,鹤峰茶,湖北,鹤峰县茶叶产业协会,茶叶,AGI00048
49,2008,宜都蜜柑,湖北,宜都市柑桔协会,果品,AGI00049
50,2008,湘西椪柑,湖南,湘西土家族苗族自治州农业特色产业服务中心,果品,AGI00050
51,2008,武隆高山白菜,重庆,重庆市武隆县蔬菜产业发展办公室,蔬菜,AGI00051
52,2008,武隆高山萝卜,重庆,重庆市武隆县蔬菜产业发展办公室,蔬菜,AGI00052
53,2008,江津花椒,重庆,江津区农业技术推广服务中心,蔬菜,AGI00053
54,2008,横山大明绿豆,陕西,榆林市横山区农业技术推广中心,粮食,AGI00054
55,2008,丹凤核桃,陕西,丹凤县农业技术服务中心,果品,AGI00055
56,2008,蓝田大杏,陕西,蓝田县华胥镇娲氏杏果专业协会,果品,AGI00056
57,2008,大武口小公鸡,宁夏,石嘴山市大武口区农业畜牧技术推广服务中心,肉类产品,AGI00057
58,2008,涝河桥羊肉（清真）,宁夏,吴忠市畜牧草原技术推广服务中心,肉类产品,AGI00058
59,2008,青铜峡西瓜,宁夏,青铜峡市农业技术推广服务中心,果品,AGI00059
60,2008,盐池甜瓜,宁夏,盐池县科技服务中心,果品,AGI00060
61,2008,盐池滩羊肉,宁夏,盐池县滩羊肉产品质量监督检验站,肉类产品,AGI00061
62,2008,盐池滩鸡,宁夏,盐池县滩羊肉产品质量监督检验站,肉类产品,AGI00062
63,2008,东明西瓜,山东,东明县西瓜协会,果品,AGI00063
64,2008,平阴玫瑰红苹果,山东,平阴玫冠苹果合作社,果品,AGI00064
65,2008,新村银杏,山东,郯城县新村乡农业服务站,果品,AGI00065
66,2008,福山大樱桃,山东,福山区果树站,果品,AGI00066
67,2008,鄂尔多斯细毛羊,内蒙古,内蒙古乌审旗农牧业产业化办公室,肉类产品,AGI00067
68,2008,阿尔巴斯白绒山羊,内蒙古,内蒙古鄂托克旗阿尔巴斯绒山羊协会,肉类产品,AGI00068
69,2008,集安山葡萄,吉林,吉林省集安绿色食品产业协会,果品,AGI00069
70,2008,巴彦玉米,黑龙江,巴彦县农产品质量安全协会,粮食,AGI00070
71,2008,灵丘荞麦,山西,山西省大同市灵丘农业技术推广中心,粮食,AGI00071
72,2008,天镇唐杏,山西,天镇县绿宝无公害杏菜专业合作社,果品,AGI00072
73,2008,应县胡萝卜,山西,应县南河种镇绿色蔬菜开发中心,蔬菜,AGI00073
74,2008,交城梨枣,山西,山西省交城县农业技术推广中心,果品,AGI00074
75,2008,房县黑木耳,湖北,房县经济作物技术推广站,食用菌,AGI00075
76,2008,走马葛仙米,湖北,湖北省鹤峰县优质农产品协会,粮食,AGI00076
77,2008,崀山脐橙,湖南,新宁县农业技术推广中心,果品,AGI00077
78,2008,江永香芋,湖南,湖南省江永县桃川洞名特优新产品开发区管理委员会,蔬菜,AGI00078
79,2008,华容芥菜,湖南,华容县蔬菜加工行业协会,蔬菜,AGI00079
80,2008,武隆高山马铃薯,重庆,重庆市武隆县蔬菜产业发展办公室,粮食,AGI00080
81,2008,宁陕香菇,陕西,宁陕县农业科技服务中心,食用菌,AGI00081
82,2008,灞桥樱桃,陕西,西安市灞桥区园艺技术推广站,果品,AGI00082
83,2008,汉中冬韭,陕西,汉中市农业技术推广中心,蔬菜,AGI00083
84,2008,佳县红枣,陕西,佳县红枣产业办公,果品,AGI00084
85,2008,白河木瓜,陕西,白河县长江防护林工程建设领导小组办公室,果品,AGI00085
86,2008,海原硒砂瓜,宁夏,兴仁硒砂瓜市场流通协会,果品,AGI00086
87,2008,六盘山蚕豆,宁夏,隆德县农业技术推广服务中心,粮食,AGI00087
88,2008,马家湖西瓜,宁夏,吴忠市利通区蔬菜技术推广服务中心,果品,AGI00088
89,2008,朝那乌鸡,宁夏,彭阳县养鸡专业合作社,肉类产品,AGI00089
90,2008,同心马铃薯,宁夏,同心县农业技术推广服务中心,粮食,AGI00090
91,2008,青铜峡番茄,宁夏,青铜峡市农业技术推广服务中心,蔬菜,AGI00091
92,2008,张亮香瓜,宁夏,贺兰县农牧局乡镇企业培训服务中心,果品,AGI00092
93,2008,盐池荞麦,宁夏,盐池县科技服务中心,粮食,AGI00093
94,2008,原州马铃薯,宁夏,固原市原州区农业技术推广服务中心,粮食,AGI00094
95,2008,原州油用亚麻,宁夏,固原市原州区农业技术推广服务中心,油料,AGI00095
96,2008,蒙阴蜜桃,山东,蒙阴县果业协会,果品,AGI00096
97,2008,黄河口大闸蟹,山东,东营市黄河口大闸蟹协会,水产动物,AGI00097
98,2008,苍山辣椒,山东,苍山县平阳蔬菜产销专业合作社,蔬菜,AGI00098
99,2008,滕州马铃薯,山东,滕州市种子管理站,粮食,AGI00099
100,2008,敖汉旗荞麦,内蒙古,敖汉旗农产品质量安全中心,粮食,AGI00100
101,2008,苏尼特羊肉,内蒙古,锡林郭勒盟农牧业科学研究所,肉类产品,AGI00101
102,2008,万昌大米,吉林,永吉县粮食行业协会,粮食,AGI00102
103,2008,克山马铃薯,黑龙江,克山县绿色食品协会,粮食,AGI00103
104,2008,呼兰韭菜,黑龙江,哈尔滨市呼兰区蒲井蔬菜专业合作社,蔬菜,AGI00104
105,2008,嘉荫水稻,黑龙江,嘉荫县绿色食品协会,粮食,AGI00105
106,2008,孝义柿子,山西,山西省孝义市农业技术推广中心,果品,AGI00106
107,2008,应县青椒,山西,应县南河种镇绿色蔬菜开发中心,蔬菜,AGI00107
108,2008,四井岗油桃,湖北,枣阳市平林镇油桃协会,果品,AGI00108
109,2008,沼山胡柚,湖北,鄂州市梁子湖区胡柚产业合作社,果品,AGI00109
110,2008,江永香姜,湖南,湖南省江永县桃川洞名特优新产品开发区管理委员会,蔬菜,AGI00110
111,2008,武隆高山甘蓝,重庆,重庆市武隆县蔬菜产业发展办公室,蔬菜,AGI00111
112,2008,梁平肉鸭,重庆,重庆市梁平县畜牧技术推广站,肉类产品,AGI00112
113,2008,城固蜜桔,陕西,城固县果业技术指导站,果品,AGI00113
114,2008,靖边马铃薯,陕西,靖边县农业技术推广服务中心,粮食,AGI00114
115,2008,汉中白猪,陕西,汉中市动物疾病预防控制中心,肉类产品,AGI00115
