序号,产品名称,地理标识,地理标志2
1,五常大米,五常,
2,延边大米,延边,
3,鱼台大米,鱼台,
4,射阳大米,射阳,
5,万昌大米,万昌,
6,河龙贡米,河龙,
7,新开河贡米,新开河,
8,平林镇大米,平林镇,
9,阿城大米,阿城,
10,宁夏大米,宁夏,
11,扎兰屯大米,扎兰屯,
12,肇源大米,肇源,
13,延寿大米,延寿,
14,南川米,南川,
15,广南八宝米,广南,
16,紫鹊界贡米,紫鹊界,
17,晋祠大米,晋祠,
18,泗洪大米,泗洪,
19,奉新大米,奉新,
20,南陵大米,南陵,
21,马宣寨大米,马宣寨,
22,仰韶贡米,仰韶,
23,梧桐河大米,梧桐河,
24,瓦仓大米,瓦仓,
25,六十八团大米,六十八团,68团
26,黄河口大米,黄河口,
27,桦川大米,桦川,
28,涛雒大米,涛雒,
29,察布查尔大米,察布查尔,
30,金桩堰贡米,金桩堰,
31,葫芦潭贡米,葫芦潭,
32,姜湖贡米,姜湖,
33,孝感糯米,孝感,
34,兴泉大米,兴泉,
35,兴凯湖大米,兴凯湖,
36,他拉哈大米,他拉哈,
37,马店糯米,马店,
38,东宁大米,东宁,
39,万州罗田大米,万州罗田,
40,庆安大米,庆安,
41,承恩贡米,承恩,
42,石马槽大米,石马槽,
43,高安大米,高安,
44,庄河大米,庄河,
45,东巩官米,东巩,
46,五大连池大米,五大连池,
47,东阿鱼山大米,东阿鱼山,
48,城头山大米,城头山,
49,佳木斯大米,佳木斯,
50,舒兰大米,舒兰,
51,桓仁京租大米,桓仁京租,
52,萝北大米,萝北,
53,洪湖再生稻米,洪湖,
54,监利大米,监利,
55,息烽西山贡米,息烽西山,
56,汉中大米,汉中,
57,柏各庄大米,柏各庄,
58,居仁大米,居仁,
59,孝感香米,孝感,
60,饶河大米,饶河,
61,谢花桥大米,谢花桥,
62,扎赉特大米,扎赉特,
63,台山大米,台山,
64,巴林大米,巴林,
65,直罗贡米,直罗,
66,含山大米,含山,
67,七台河大米,七台河,
68,钟祥长寿村大米,钟祥长寿村,
69,新疆兵团七十三团大米,七十三团,
70,水竹园大米,水竹园,
71,琊川贡米,琊川,
72,惠水黑糯米,惠水,
73,客都稻米,客都,
74,龙门大米,龙门,
75,曹镇大米,曹镇,
76,宜春大米,宜春,
77,乌山贡米,乌山,
78,常德香米,常德,
79,凯里平良贡米,凯里平良,
80,万宝镇大米,万宝镇,
81,江永香米,江永,
82,温宿大米,温宿,
83,灯塔大米,灯塔,
84,隆兴大米,隆兴,
85,新宾大米,新宾,
86,芜湖大米,芜湖,
87,白莲坡贡米,白莲坡,
88,赫山兰溪大米,兰溪,
89,侧岭米,侧岭,
90,郭家湾贡米,郭家湾,
91,高墟大米,高墟,
92,姜堰大米,姜堰,
93,东台大米,东台,
94,麻姑米,麻姑,
95,大通湖大米,大通湖,
96,平坝大米,平坝,
97,代县大米,代县,
98,土桥大米,土桥,
99,宿迁籼米,宿迁,
100,鄱阳大米,鄱阳,
101,白云贡米,白云,
102,海丰油占米,海丰,
103,恩平大米,恩平,
104,南丹巴平米,南丹,
105,马喇湖贡米,马喇湖,
106,独山大米,独山,
107,白水贡米,白水,
108,海龙贡米,海龙,
109,金竹贡米,金竹,
110,青浦薄稻米,青浦薄,
111,虎头大米,虎头,
112,集贤大米,集贤,
113,凤阳贡米,凤阳,
114,店集贡米,店集,
115,留庄大米,留庄,
116,茅坝米,茅坝,
117,杠村米,杠村,
118,友谊大米,友谊,
119,梅里斯哈拉海大米,梅里斯哈拉海,
120,涛沟桥大米,涛沟桥,
121,沅江大米,沅江,
122,察隅大米,察隅,
123,岔河大米,岔河,
124,颍上大米,颍上,
125,都昌大米,都昌,
126,浮梁大米,浮梁,
127,枝柘坪大米,枝柘坪,
128,犍为再生稻米,犍为,
129,郧阳胭脂米,郧阳,
130,松柏大米,松柏,
131,从江香禾糯,从江,
132,隆化大米,隆化,
133,科左后旗大米,科左后旗,
134,巴达仍贵大米,巴达仍贵,
135,盘锦大米,盘锦,
136,铁岭大米,铁岭,
137,辽中大米,辽中,
138,苏家屯大米,苏家屯,
139,西江大米,西江,
140,姜家店大米,姜家店,
141,梅河大米,梅河,
142,辉南大米,辉南,
143,公主岭大米,公主岭,
144,珍宝岛大米,珍宝岛,
145,响水大米,响水,
146,建三江大米,建三江,
147,香磨山大米,香磨山,
148,宝清大米,宝清,
149,汤原大米,汤原,
150,望奎大米,望奎,
151,海伦大米,海伦,
152,通河大米,通河,
153,泰来大米,泰来,
154,松江大米,松江,
155,河横大米,河横,
156,兴化大米,兴化,
157,丰城富硒大米,丰城,
158,万年贡米,万年,
159,原阳大米,原阳,
160,范县大米,范县,
161,京山桥米,京山,
162,关庙山贡米,关庙山,
163,宣恩贡米,宣恩,
164,法泗大米,法泗,
165,太子米,太子,
166,罗定稻米,罗定,
167,马坝油粘米,马坝,
168,增城丝苗米,增城,
169,罗浮山大米,罗浮山,
170,连山大米,连山,
171,东津细米,东津,
172,上林大米,上林,
173,仪陇大山香米,仪陇大山,
174,王家贡米,王家,
175,黄龙贡米,黄龙,
176,米城大米,米城,
177,比德大米,比德,
178,白果贡米,白果,
179,锡利贡米,锡利,
180,丹寨硒锌米,丹寨,
181,茅贡米,茅贡,
182,遮放贡米,遮放,
183,桓仁大米,桓仁,
184,蕲春珍米,蕲春,
185,竹溪贡米,竹溪,
186,黎平香禾糯,黎平,
187,清水大米,清水,
