序号,产品名称,地理标识,地理标志2
1,五常大米,五常,
2,延边大米,延边,
3,鱼台大米,鱼台,
4,射阳大米,射阳,
5,万昌大米,万昌,
6,河龙贡米,河龙,
7,新开河贡米,新开河,
8,平林镇大米,平林镇,
9,阿城大米,阿城,
10,宁夏大米,宁夏,
11,扎兰屯大米,扎兰屯,
12,肇源大米,肇源,
13,延寿大米,延寿,
14,南川米,南川,
15,广南八宝米,广南,
16,紫鹊界贡米,紫鹊界,
17,晋祠大米,晋祠,
19,泗洪大米,泗洪,
20,奉新大米,奉新,
21,南陵大米,南陵,
22,马宣寨大米,马宣寨,
23,仰韶贡米,仰韶,
24,梧桐河大米,梧桐河,
25,瓦仓大米,瓦仓,
26,六十八团大米,六十八团,68团
27,黄河口大米,黄河口,
28,桦川大米,桦川,
29,涛雒大米,涛雒,
30,察布查尔大米,察布查尔,
31,金桩堰贡米,金桩堰,
32,葫芦潭贡米,葫芦潭,
33,姜湖贡米,姜湖,
34,孝感糯米,孝感,
35,兴泉大米,兴泉,
36,兴凯湖大米,兴凯湖,
37,他拉哈大米,他拉哈,
38,马店糯米,马店,
39,东宁大米,东宁,
40,万州罗田大米,万州罗田,
41,庆安大米,庆安,
42,承恩贡米,承恩,
43,石马槽大米,石马槽,
44,高安大米,高安,
45,庄河大米,庄河,
46,东巩官米,东巩,
47,五大连池大米,五大连池,
48,东阿鱼山大米,东阿鱼山,
49,城头山大米,城头山,
50,佳木斯大米,佳木斯,
51,舒兰大米,舒兰,
52,桓仁京租大米,桓仁京租,
53,萝北大米,萝北,
54,洪湖再生稻米,洪湖,
55,监利大米,监利,
56,息烽西山贡米,息烽西山,
57,汉中大米,汉中,
58,柏各庄大米,柏各庄,
59,居仁大米,居仁,
60,孝感香米,孝感,
61,饶河大米,饶河,
62,谢花桥大米,谢花桥,
63,扎赉特大米,扎赉特,
64,台山大米,台山,
65,巴林大米,巴林,
66,直罗贡米,直罗,
67,含山大米,含山,
68,七台河大米,七台河,
69,钟祥长寿村大米,钟祥长寿村,
70,新疆兵团七十三团大米,七十三团,
71,水竹园大米,水竹园,
72,琊川贡米,琊川,
73,惠水黑糯米,惠水,
74,客都稻米,客都,
75,龙门大米,龙门,
76,曹镇大米,曹镇,
77,宜春大米,宜春,
78,乌山贡米,乌山,
79,常德香米,常德,
80,凯里平良贡米,凯里平良,
81,万宝镇大米,万宝镇,
82,江永香米,江永,
83,温宿大米,温宿,
84,灯塔大米,灯塔,
85,隆兴大米,隆兴,
86,新宾大米,新宾,
87,芜湖大米,芜湖,
88,白莲坡贡米,白莲坡,
89,赫山兰溪大米,兰溪,
90,侧岭米,侧岭,
91,郭家湾贡米,郭家湾,
92,高墟大米,高墟,
93,姜堰大米,姜堰,
94,东台大米,东台,
95,麻姑米,麻姑,
96,大通湖大米,大通湖,
97,平坝大米,平坝,
98,代县大米,代县,
100,土桥大米,土桥,
101,宿迁籼米,宿迁,
102,鄱阳大米,鄱阳,
103,白云贡米,白云,
104,海丰油占米,海丰,
105,恩平大米,恩平,
106,南丹巴平米,南丹,
107,马喇湖贡米,马喇湖,
108,独山大米,独山,
109,白水贡米,白水,
110,海龙贡米,海龙,
111,金竹贡米,金竹,
112,青浦薄稻米,,
113,虎头大米,,
114,集贤大米,,
115,凤阳贡米,,
116,店集贡米,,
117,留庄大米,,
118,茅坝米,,
119,杠村米,,
120,友谊大米,,
121,梅里斯哈拉海大米,,
122,涛沟桥大米,,
123,沅江大米,,
124,察隅大米,,
125,岔河大米,,
126,颍上大米,,
127,都昌大米,,
128,浮梁大米,,
129,枝柘坪大米,,
130,犍为再生稻米,,
131,郧阳胭脂米,,
132,松柏大米,,
133,从江香禾糯,,
134,隆化大米,,
135,科左后旗大米,,
136,巴达仍贵大米,,
137,盘锦大米,,
138,铁岭大米,,
139,辽中大米,,
140,苏家屯大米,,
141,西江大米,,
142,姜家店大米,,
143,梅河大米,,
144,辉南大米,,
145,公主岭大米,,
146,珍宝岛大米,,
147,响水大米,,
148,建三江大米,,
149,香磨山大米,,
150,宝清大米,,
151,汤原大米,,
152,望奎大米,,
153,海伦大米,,
154,通河大米,,
155,泰来大米,,
156,松江大米,,
157,河横大米,,
158,兴化大米,,
159,丰城富硒大米,,
160,万年贡米,,
161,原阳大米,,
162,范县大米,,
163,京山桥米,,
164,关庙山贡米,,
165,宣恩贡米,,
166,法泗大米,,
167,太子米,,
168,罗定稻米,,
169,马坝油粘米,,
170,增城丝苗米,,
171,罗浮山大米,,
172,连山大米,,
173,东津细米,,
174,上林大米,,
175,仪陇大山香米,,
176,王家贡米,,
177,黄龙贡米,,
178,米城大米,,
179,比德大米,,
180,白果贡米,,
181,锡利贡米,,
182,丹寨硒锌米,,
183,茅贡米,,
184,遮放贡米,,
185,桓仁大米,,
186,蕲春珍米,,
187,竹溪贡米,,
188,黎平香禾糯,,
189,清水大米,,
190,蔚州贡米,,
191,纪山龙米,,
192,富拉尔基温水大米,,
193,应城糯米,,
194,定安大米,,
195,古辣香米,,
196,铁力大米,,
197,东港大米,,
198,阜宁大米,,
199,淮安大米,,
200,富锦大米,,
201,方正大米,,
202,建湖大米,,
203,榆树大米,,
204,高青大米,,
205,金湖大米,,
206,营口大米,,
207,沈北大米,,
208,珲春大米,,
209,黄庄大米,,
210,仙女大米,,
211,安山大米,,
212,沛县大米,,
213,洪泽大米,,
214,绥滨大米,,
