序号,产品名称,所在地区,产品编号,产品类别,批准单位,登记年份
1,五常大米,黑龙江省五常县,质检总局2003年第44号,粮食,国家市场总局,2003
2,延边大米,吉林省延边州,质检总局2006年第220号,粮食,国家市场总局,2006
3,鱼台大米,山东省济宁市,质检总局2008年第147号,粮食,国家市场总局 农业农村部,2008
4,射阳大米,江苏省盐城市,质检总局2008年第138号,粮食,国家市场总局 农业农村部,2008
5,万昌大米,吉林省永吉县,AGI00102,粮食,农业农村部 国家市场总局,2008
6,河龙贡米,福建省三明市宁化县,质检总局2008年第80号,粮食,农业农村部 国家市场总局,2008
7,新开河贡米,吉林省集安市,AGI00008,粮食,农业农村部,2008
8,平林镇大米,湖北省枣阳市,AGI00047,粮食,农业农村部,2008
9,阿城大米,黑龙江省阿城区,AGI00012,粮食,农业农村部,2008
10,宁夏大米,宁夏银川市,AGI00116,粮食,农业农村部,2008
11,扎兰屯大米,内蒙古呼伦贝尔,AGI00125,粮食,农业农村部,2009
12,肇源大米,黑龙江省大庆市,AGI00143,粮食,农业农村部,2009
13,延寿大米,黑龙江省哈尔滨市,AGI00144,粮食,农业农村部,2009
14,南川米,重庆市南川区,AGI00174,粮食,农业农村部,2009
15,广南八宝米,云南省文山州,AGI00168,粮食,农业农村部,2009
16,紫鹊界贡米,湖南省娄底市新化县,AGI00205,粮食,农业农村部,2010
17,晋祠大米,山西省太原市晋源区,AGI00213,粮食,农业农村部,2010
18,隆化小米,山西省临汾市翼城县,AGI00214,粮食,农业农村部,2010
19,泗洪大米,江苏省宿迁市,AGI00220,粮食,农业农村部,2010
20,奉新大米,江西省宜春市,AGI00422,粮食,农业农村部,2010
21,南陵大米,安徽省芜湖市,AGI00443,粮食,农业农村部,2010
22,马宣寨大米,河南省焦作市武涉县,AGI00391,粮食,农业农村部,2010
23,仰韶贡米,河南省三门峡市渑池县,AGI00453,粮食,农业农村部,2010
24,梧桐河大米,黑龙江省佳木斯市汤原县,AGI00605,粮食,农业农村部,2011
25,瓦仓大米,湖北省宜昌市远安县,AGI00624,粮食,农业农村部,2011
