序号,产品名称,证明类型
1,鱼台大米,AGI+PGI+GITM
2,射阳大米,AGI+PGI
3,万昌大米,AGI+PGI+GITM
4,河龙贡米,AGI+PGI+GITM
5,新开河贡米,AGI
6,平林镇大米,AGI
7,阿城大米,AGI
8,宁夏大米,AGI
9,扎兰屯大米,AGI
10,肇源大米,AGI+GITM
11,延寿大米,AGI+PGI+GITM
12,南川米,AGI
13,广南八宝米,AGI+PGI
14,紫鹊界贡米,AGI
15,晋祠大米,AGI
16,泗洪大米,AGI+GITM
17,奉新大米,AGI
18,南陵大米,AGI+PGI+GITM
19,马宣寨大米,AGI
20,仰韶贡米,AGI
21,梧桐河大米,AGI
22,瓦仓大米,AGI
23,六十八团大米,AGI
24,黄河口大米,AGI
25,桦川大米,AGI+PGI
26,涛雒大米,AGI
27,察布查尔大米,AGI
28,金桩堰贡米,AGI
29,葫芦潭贡米,AGI
30,姜湖贡米,AGI
31,孝感糯米,AGI
32,兴泉大米,AGI
33,兴凯湖大米,AGI
34,他拉哈大米,AGI
35,马店糯米,AGI
36,东宁大米,AGI
37,万州罗田大米,AGI
38,白莲坡贡米,AGI+PGI
39,承恩贡米,AGI
40,石马槽大米,AGI
41,高安大米,AGI+GITM
42,庄河大米,AGI
43,东巩官米,AGI
44,五大连池大米,AGI
45,东阿鱼山大米,AGI
46,城头山大米,AGI
47,佳木斯大米,AGI+PGI
48,舒兰大米,AGI
49,桓仁京租大米,AGI
50,萝北大米,AGI
51,洪湖再生稻米,AGI
52,监利大米,AGI
53,息烽西山贡米,AGI
54,汉中大米,AGI+GITM
55,柏各庄大米,AGI+PGI
56,居仁大米,AGI
57,孝感香米,AGI
58,饶河大米,AGI
59,谢花桥大米,AGI
60,扎赉特大米,AGI
61,台山大米,AGI+GITM
62,巴林大米,AGI
63,直罗贡米,AGI
64,含山大米,AGI
65,七台河大米,AGI
66,钟祥长寿村大米,AGI+GITM
67,新疆兵团七十三团大米,AGI
68,水竹园大米,AGI
69,琊川贡米,AGI
70,惠水黑糯米,AGI+PGI
71,客都稻米,AGI
72,龙门大米,AGI+GITM
73,曹镇大米,AGI
74,宜春大米,AGI
75,乌山贡米,AGI
